Site Section,Site Subsection,Location Type,Ad Unit,Ad Unit Size,Ad Unit Group,Ad Unit Group ID,Ad Unit Name,Ad Unit ID
,BUSINESS,Section,Leaderboard,728 x 90, | Section,10267, | Section | Leaderboard | 728 x 90,320671
,,,Leaderboard,320 x 50,,, | Section | Leaderboard | 320 x 50,320672
,,,Medium Rectangle 1,300 x 250,,, | Section | Medium Rectangle 1 | 300 x 250,320673
,,,Medium Rectangle 2,300 x 250,,, | Section | Medium Rectangle 2 | 300 x 250,320674
,,Story,Leaderboard,728 x 90, | Story,14024, | Story | Leaderboard | 728 x 90,320675
,,,Leaderboard,320 x 50,,, | Story | Leaderboard | 320 x 50,320676
,,,Medium Rectangle 1,300 x 250,,, | Story | Medium Rectangle 1 | 300 x 250,320677
,,,,,,,,
BUSINESS,Blue Chip,Section,Leaderboard,728 x 90,BUSINESS | Blue Chip | Section,14025,BUSINESS | Blue Chip | Section | Leaderboard | 728 x 90,320684
,,,Leaderboard,320 x 50,,,BUSINESS | Blue Chip | Section | Leaderboard | 320 x 50,320685
,,,Medium Rectangle 1,300 x 250,,,BUSINESS | Blue Chip | Section | Medium Rectangle 1 | 300 x 250,320686
,,,Medium Rectangle 2,300 x 250,,,BUSINESS | Blue Chip | Section | Medium Rectangle 2 | 300 x 250,320688
,,Story,Leaderboard,728 x 90,BUSINESS | Blue Chip | Story,14026,BUSINESS | Blue Chip | Story | Leaderboard | 728 x 90,320691
,,,Leaderboard,320 x 50,,,BUSINESS | Blue Chip | Story | Leaderboard | 320 x 50,320692
,,,Medium Rectangle 1,300 x 250,,,BUSINESS | Blue Chip | Story | Medium Rectangle 1 | 300 x 250,320693